sms_text,category
Квитанция за услуги ЖКХ 596 руб,Коммуналка
Списание в ресторане Гордеев Лимитед 2136 руб,Кафе
Метро: 1248 руб,Транспорт
Кафе Абрамов Лимитед 2146 руб,Кафе
"Аптека ООО «Терентьев, Громова и Носков» 902 руб",Здоровье
"Оплата НПО «Зуев», сумма 864 руб",Продукты
Аптека Моисеева Групп 4078 руб,Здоровье
Кафе ЗАО «Жуков» 1448 руб,Кафе
Кафе МегаФон 3827 руб,Кафе
Мегафон: списание 4652 руб,Связь
Квитанция за услуги ЖКХ 1655 руб,Коммуналка
Оплата связи Мегафон на сумму 4541 руб,Связь
"Оплата НПО «Савин Гурьев», сумма 510 руб",Продукты
Получен перевод 1389 руб,Перевод
"Оплата ООО «Никитин Субботин», сумма 661 руб",Продукты
Перевод на карту 3407 руб,Перевод
"Оплата АО «Фомина-Денисов», сумма 4970 руб",Продукты
"Оплата ЗАО «Крюкова, Карпов и Тимофеева», сумма 4881 руб",Продукты
"Перевод от Адам, сумма 1773 руб",Перевод
Квитанция за услуги ЖКХ 2275 руб,Коммуналка
Кафе НПО «Борисов» 2557 руб,Кафе
"Оплата в ИП «Лукин, Капустин и Кудряшов» на сумму 3854 руб",Кафе
"Перевод от Ладислав, сумма 4504 руб",Перевод
Такси Uber на 2959 руб,Транспорт
Покупка НПО «Журавлев-Бобылев» 1392 руб,Продукты
Списание в ресторане Анисимов и партнеры 4433 руб,Кафе
"Оплата АО «Карпов, Макарова и Кулаков», сумма 948 руб",Продукты
Транспорт карта: списание 4632 руб,Транспорт
Транспорт карта: списание 1825 руб,Транспорт
Оплата коммунальных услуг 2262 руб,Коммуналка
Получен перевод 856 руб,Перевод
Оплата коммунальных услуг 129 руб,Коммуналка
Оплата связи Билайн на сумму 1423 руб,Связь
Оплата коммунальных услуг 3603 руб,Коммуналка
Перевод на карту 1321 руб,Перевод
Перевод на карту 4626 руб,Перевод
Транспорт карта: списание 2625 руб,Транспорт
Оплата связи МТС на сумму 2144 руб,Связь
ЖКХ: списание 3429 руб,Коммуналка
"Перевод от Модест, сумма 1431 руб",Перевод
Аптека АО «Зыков Ефимова» 1569 руб,Здоровье
Оплата коммунальных услуг 2132 руб,Коммуналка
Оплата связи МТС на сумму 3233 руб,Связь
Аптека ЕвроСибЭнерго 1734 руб,Здоровье
Оплата услуг клиники 1964 руб,Здоровье
Метро: 3364 руб,Транспорт
Билайн: списание 2976 руб,Связь
Квитанция за услуги ЖКХ 4492 руб,Коммуналка
Оплата связи Билайн на сумму 1562 руб,Связь
Получен перевод 4987 руб,Перевод
Оплата в Горбачев Инк на сумму 3674 руб,Кафе
"Перевод от Эрнест, сумма 4823 руб",Перевод
Транспорт карта: списание 3672 руб,Транспорт
"Оплата Громова Инкорпорэйтед, сумма 1714 руб",Продукты
Мегафон: списание 2804 руб,Связь
Получен перевод 2560 руб,Перевод
Получен перевод 2772 руб,Перевод
"Списание в ресторане ИП «Колобова, Симонова и Евдокимов» 1142 руб",Кафе
Транспорт карта: списание 1525 руб,Транспорт
"Перевод от Глеб, сумма 4588 руб",Перевод
Аптека РАО «Ершова-Чернов» 1821 руб,Здоровье
Списание в ресторане ОАО «Шаров» 2739 руб,Кафе
Оплата в Моисеева Лтд на сумму 1850 руб,Кафе
Получен перевод 794 руб,Перевод
Мобильный платеж 2845 руб,Связь
Покупка ИП «Мартынов-Котова» 1940 руб,Продукты
"Аптека ОАО «Антонов, Мясников и Григорьева» 478 руб",Здоровье
Транспорт карта: списание 3830 руб,Транспорт
Списание в ресторане ЗАО «Игнатьев-Комаров» 3245 руб,Кафе
Оплата в НПО «Гурьев Мамонтова» на сумму 145 руб,Кафе
Аптека Ново-Уренгойская газовая компания 1540 руб,Здоровье
Медицинские услуги 511 руб,Здоровье
Перевод на карту 1192 руб,Перевод
Оплата услуг клиники 4678 руб,Здоровье
Получен перевод 4235 руб,Перевод
Списание в ресторане ООО «Третьякова Мухина» 3988 руб,Кафе
Оплата в РЕ Трэйдинг (LPP) на сумму 2371 руб,Кафе
Медицинские услуги 2059 руб,Здоровье
Мегафон: списание 2440 руб,Связь
Транспорт карта: списание 4524 руб,Транспорт
Покупка РАО «Елисеева» 3237 руб,Продукты
ЖКХ: списание 626 руб,Коммуналка
Оплата в Титова и партнеры на сумму 3916 руб,Кафе
"Кафе НПО «Михеева, Турова и Русакова» 3290 руб",Кафе
Медицинские услуги 4816 руб,Здоровье
"Оплата в ЗАО «Самойлов, Новикова и Юдин» на сумму 2546 руб",Кафе
Оплата услуг клиники 4573 руб,Здоровье
Медицинские услуги 1897 руб,Здоровье
МТС: списание 3285 руб,Связь
Мобильный платеж 1452 руб,Связь
Оплата услуг клиники 4475 руб,Здоровье
ОАО «Мельников-Сидорова»: списание 322 руб,Продукты
"Оплата ИП «Волкова», сумма 3882 руб",Продукты
Метро: 2781 руб,Транспорт
Транспорт карта: списание 3205 руб,Транспорт
МТС: списание 3952 руб,Связь
"Оплата ИП «Доронин, Трофимов и Мартынова», сумма 2966 руб",Продукты
Такси Яндекс на 429 руб,Транспорт
Аптека ЗАО «Жуков» 266 руб,Здоровье
Перевод на карту 3979 руб,Перевод
ЖКХ: списание 3909 руб,Коммуналка
Оплата коммунальных услуг 1038 руб,Коммуналка
"Аптека РАО «Суханов, Кузнецов и Буров» 4840 руб",Здоровье
Мухина Инкорпорэйтед: списание 3174 руб,Продукты
Списание в ресторане Федорова Инкорпорэйтед 4950 руб,Кафе
Квитанция за услуги ЖКХ 2570 руб,Коммуналка
Медицинские услуги 4736 руб,Здоровье
Аптека ООО «Бобров-Рыбаков» 3609 руб,Здоровье
Оплата коммунальных услуг 2895 руб,Коммуналка
"РАО «Воробьев, Муравьев и Юдина»: списание 3651 руб",Продукты
Мобильный платеж 1353 руб,Связь
Кафе Суворова Групп 2312 руб,Кафе
"Перевод от Любовь, сумма 3668 руб",Перевод
Медицинские услуги 2740 руб,Здоровье
Аптека РАО «Дементьева Зимин» 3792 руб,Здоровье
Транспорт карта: списание 3204 руб,Транспорт
Оплата связи Билайн на сумму 1589 руб,Связь
Кафе ЗАО «Тимофеев-Артемьев» 2888 руб,Кафе
Мобильный платеж 4653 руб,Связь
"Оплата НПО «Белов, Соловьев и Баранов», сумма 2077 руб",Продукты
Оплата коммунальных услуг 2068 руб,Коммуналка
Оплата коммунальных услуг 4120 руб,Коммуналка
"Кафе ЗАО «Савина, Зыкова и Ершова» 1915 руб",Кафе
"Списание в ресторане ООО «Никонов, Агафонов и Михайлов» 4864 руб",Кафе
Мегафон: списание 2916 руб,Связь
"Списание в ресторане ЗАО «Логинова, Цветкова и Хохлов» 2982 руб",Кафе
Оплата коммунальных услуг 2159 руб,Коммуналка
Метро: 2684 руб,Транспорт
"Оплата Киселев Инкорпорэйтед, сумма 1616 руб",Продукты
Метро: 2365 руб,Транспорт
Квитанция за услуги ЖКХ 2418 руб,Коммуналка
"Покупка РАО «Андреева, Панфилов и Суханова» 3056 руб",Продукты
Транспорт карта: списание 4475 руб,Транспорт
Транспорт карта: списание 4633 руб,Транспорт
Мобильный платеж 4121 руб,Связь
Покупка ИП «Зуев Панов» 3945 руб,Продукты
Оплата в АО «Пахомова Горшкова» на сумму 520 руб,Кафе
МТС: списание 3382 руб,Связь
Кафе Артис-Агро Экспорт 539 руб,Кафе
Метро: 797 руб,Транспорт
Метро: 4983 руб,Транспорт
Медицинские услуги 3216 руб,Здоровье
Оплата в Сибур Холдинг на сумму 3612 руб,Кафе
Мобильный платеж 912 руб,Связь
Аптека РАО «Горшкова Афанасьева» 2267 руб,Здоровье
ЖКХ: списание 1523 руб,Коммуналка
Перевод на карту 3446 руб,Перевод
Списание в ресторане ООО «Гуляев» 2485 руб,Кафе
Покупка Новиков Инк 2416 руб,Продукты
Оплата коммунальных услуг 2012 руб,Коммуналка
Мобильный платеж 1720 руб,Связь
Кафе НПО «Захарова» 1320 руб,Кафе
Оплата связи МТС на сумму 1459 руб,Связь
Оплата услуг клиники 4762 руб,Здоровье
Билайн: списание 2591 руб,Связь
Оплата коммунальных услуг 4523 руб,Коммуналка
Оплата в ОАО «Меркушева-Агафонов» на сумму 426 руб,Кафе
Списание в ресторане АО «Баранов-Князева» 2151 руб,Кафе
Покупка Юг-Авто 4812 руб,Продукты
Перевод на карту 4820 руб,Перевод
Покупка ООО «Давыдова-Беляева» 3722 руб,Продукты
Оплата связи Билайн на сумму 4128 руб,Связь
ООО «Горшкова-Елисеев»: списание 2830 руб,Продукты
Мобильный платеж 2801 руб,Связь
"Списание в ресторане АО «Кошелев, Стрелков и Анисимова» 3380 руб",Кафе
Медицинские услуги 821 руб,Здоровье
МТС: списание 3411 руб,Связь
Медицинские услуги 4544 руб,Здоровье
Оплата в Мясникова Лтд на сумму 4347 руб,Кафе
Мобильный платеж 3721 руб,Связь
Аптека Сафонов Групп 4599 руб,Здоровье
Транспорт карта: списание 4070 руб,Транспорт
Покупка Балтийская топливная компания 2060 руб,Продукты
ЖКХ: списание 212 руб,Коммуналка
Получен перевод 1029 руб,Перевод
"Кафе ООО «Брагин, Силин и Никитина» 4182 руб",Кафе
Оплата коммунальных услуг 2339 руб,Коммуналка
Оплата в ОАО «Корнилов» на сумму 3841 руб,Кафе
Перевод на карту 4263 руб,Перевод
ЖКХ: списание 3499 руб,Коммуналка
Мобильный платеж 2417 руб,Связь
Оплата коммунальных услуг 4111 руб,Коммуналка
Аптека ОАО «Горбачев Лукина» 4067 руб,Здоровье
Мегафон: списание 3190 руб,Связь
Оплата в Титова Групп на сумму 2056 руб,Кафе
Получен перевод 457 руб,Перевод
Мобильный платеж 3223 руб,Связь
"Списание в ресторане РАО «Гущина, Волкова и Агафонова» 4157 руб",Кафе
"Покупка ОАО «Гусев, Одинцов и Вишняков» 2819 руб",Продукты
Аптека АО «Воронцова-Брагина» 4408 руб,Здоровье
Кафе Мечел 3458 руб,Кафе
Медицинские услуги 3946 руб,Здоровье
Оплата услуг клиники 3356 руб,Здоровье
ЖКХ: списание 4471 руб,Коммуналка
Оплата в Восточная техника (Vost-Tech) на сумму 4097 руб,Кафе
Медицинские услуги 660 руб,Здоровье
Такси CityMobil на 1963 руб,Транспорт
ЖКХ: списание 923 руб,Коммуналка
Кафе МТС-банк 337 руб,Кафе
Павлов и партнеры: списание 3036 руб,Продукты
МТС: списание 4451 руб,Связь
Списание в ресторане ООО «Фадеев-Андреев» 1492 руб,Кафе
Метро: 2072 руб,Транспорт
Списание в ресторане ООО «Константинов-Макарова» 3877 руб,Кафе
Оплата коммунальных услуг 176 руб,Коммуналка
Оплата услуг клиники 4577 руб,Здоровье
Метро: 4913 руб,Транспорт
Мобильный платеж 2148 руб,Связь
Оплата в ЗАО «Журавлев» на сумму 4058 руб,Кафе
Покупка РАО «Терентьев-Королева» 3040 руб,Продукты
Получен перевод 279 руб,Перевод
Медицинские услуги 166 руб,Здоровье
"Перевод от Орест, сумма 4169 руб",Перевод
Оплата услуг клиники 2986 руб,Здоровье
Такси Яндекс на 2153 руб,Транспорт
Квитанция за услуги ЖКХ 1220 руб,Коммуналка
ЖКХ: списание 422 руб,Коммуналка
Мегафон: списание 3088 руб,Связь
ЖКХ: списание 2776 руб,Коммуналка
Оплата коммунальных услуг 1182 руб,Коммуналка
Медицинские услуги 4210 руб,Здоровье
Оплата связи Билайн на сумму 2517 руб,Связь
Оплата коммунальных услуг 716 руб,Коммуналка
Метро: 3355 руб,Транспорт
Медицинские услуги 3332 руб,Здоровье
"АО «Самсонова, Юдина и Суворова»: списание 3825 руб",Продукты
Мобильный платеж 2247 руб,Связь
Получен перевод 987 руб,Перевод
ЖКХ: списание 4699 руб,Коммуналка
Мобильный платеж 617 руб,Связь
Оплата коммунальных услуг 3444 руб,Коммуналка
Покупка НПО «Субботина-Дорофеева» 2593 руб,Продукты
Кафе Титова Инкорпорэйтед 4503 руб,Кафе
Транспорт карта: списание 4525 руб,Транспорт
Списание в ресторане НПО «Беляков» 1365 руб,Кафе
Списание в ресторане НПК Объединенная вагонная компания 3443 руб,Кафе
Оплата связи Билайн на сумму 1879 руб,Связь
Оплата в Цветкова и партнеры на сумму 913 руб,Кафе
Оплата коммунальных услуг 3038 руб,Коммуналка
Петров Лтд: списание 1100 руб,Продукты
Оплата услуг клиники 1837 руб,Здоровье
Квитанция за услуги ЖКХ 514 руб,Коммуналка
Оплата услуг клиники 4725 руб,Здоровье
Метро: 4903 руб,Транспорт
Метро: 4982 руб,Транспорт
